region,Bronze,Gold,Silver,Total
USA,982,2115,1286,4383
Russia,1083,1465,1062,3610
Germany,1072,1102,1015,3189
Australia,477,319,414,1210
Italy,387,315,358,1060
Canada,355,362,343,1060
UK,351,330,350,1031
China,291,351,347,989
France,375,285,327,987
Japan,345,226,272,843
Hungary,274,289,228,791
Sweden,272,197,296,765
Finland,337,178,209,724
Netherlands,239,218,251,708
Romania,257,155,185,597
South Korea,171,190,200,561
Poland,244,114,190,548
Czech Republic,215,97,207,519
Norway,159,175,180,514
Serbia,147,149,171,467
Brazil,172,107,168,447
Spain,133,83,215,431
Cuba,115,155,124,394
Switzerland,138,77,130,345
Bulgaria,135,53,140,328
Austria,99,75,99,273
Denmark,88,101,66,255
Argentina,78,72,70,220
New Zealand,78,86,47,211
Ukraine,97,46,51,194
Jamaica,43,37,74,154
Croatia,36,53,50,139
Belarus,66,24,41,131
Pakistan,24,42,41,107
Greece,34,27,40,101
Kenya,27,34,39,100
Nigeria,44,22,30,96
India,39,40,17,96
Belgium,30,15,44,89
Mexico,30,24,22,76
Kazakhstan,31,20,23,74
Turkey,21,29,20,70
South Africa,27,19,23,69
Lithuania,48,6,7,61
Iran,23,18,18,59
North Korea,28,15,15,58
Ethiopia,22,22,9,53
Taiwan,18,3,28,49
Slovenia,26,8,13,47
Slovakia,13,15,19,47
Azerbaijan,25,7,12,44
Bahamas,15,14,11,40
Indonesia,11,10,17,38
Uzbekistan,17,10,7,34
Trinidad,20,7,7,34
Estonia,15,10,9,34
Georgia,18,8,6,32
Latvia,12,3,17,32
Thailand,13,9,8,30
Ireland,8,9,10,27
Colombia,14,5,8,27
Portugal,10,4,11,25
Chile,18,3,4,25
Mongolia,14,2,9,25
Uruguay,9,14,1,24
Morocco,12,6,5,23
Zimbabwe,1,17,4,22
Cameroon,1,16,1,18
Iceland,2,0,15,17
Paraguay,0,0,17,17
Malaysia,5,0,11,16
Algeria,6,5,4,15
Armenia,8,2,5,15
Venezuela,10,2,3,15
Peru,0,0,14,14
Montenegro,0,0,14,14
Fiji,0,13,0,13
Tunisia,6,3,3,12
Egypt,7,1,4,12
Moldova,5,0,3,8
Philippines,5,0,3,8
Puerto Rico,5,1,2,8
Liechtenstein,4,2,2,8
Israel,6,1,0,7
Uganda,2,2,3,7
Dominican Republic,1,3,2,6
Ghana,5,0,1,6
Saudi Arabia,4,0,1,5
Individual Olympic Athletes,3,1,1,5
Qatar,4,0,1,5
Costa Rica,2,1,1,4
Vietnam,0,1,3,4
Namibia,0,0,4,4
Tajikistan,2,1,1,4
Kyrgyzstan,2,0,1,3
Ivory Coast,1,1,1,3
Panama,2,1,0,3
Bahrain,1,1,1,3
Luxembourg,0,1,2,3
Suriname,1,1,0,2
Syria,1,1,0,2
Tanzania,0,0,2,2
United Arab Emirates,1,1,0,2
Afghanistan,2,0,0,2
Lebanon,1,0,1,2
Grenada,0,1,1,2
Mozambique,1,1,0,2
Kuwait,2,0,0,2
Burundi,0,1,1,2
Ecuador,0,1,1,2
Zambia,0,0,1,1
"Virgin Islands, US",0,0,1,1
Barbados,1,0,0,1
Bermuda,1,0,0,1
Botswana,0,0,1,1
Cyprus,0,0,1,1
Djibouti,1,0,0,1
Eritrea,1,0,0,1
Gabon,0,0,1,1
Senegal,0,0,1,1
Sri Lanka,0,0,1,1
Guyana,1,0,0,1
Tonga,0,0,1,1
Togo,1,0,0,1
Haiti,0,0,1,1
Jordan,0,1,0,1
Kosovo,0,1,0,1
Macedonia,1,0,0,1
Mauritius,1,0,0,1
Niger,0,0,1,1
Sudan,0,0,1,1
Guatemala,0,0,1,1
